DATEPRD,NPD_WELL_BORE_NAME,ON_STREAM_HRS,AVG_CHOKE_SIZE_P,AVG_WHP_P,DP_CHOKE_SIZE,AVG_FL_PRESS,RATIO_CHOKE_PRESS,WCUT,GOR,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,WELL_TYPE
2008-02-13,15/9-F-12,24.0,22.832986458333334,1753.343729193125,1299.8326953105,453.51103388262504,0.2586549495867118,0.37989588827970566,856.57639487722,11760.03906,10.07337186163009,44.846273999999994,OP
2008-02-16,15/9-F-12,24.0,30.227902291666666,1674.2385264185,1194.51884492475,479.71968149374993,0.28653006959525495,0.1599769685509489,769.8934682341653,19195.21164,14.778268063008422,30.757121999999995,OP
2008-02-17,15/9-F-12,24.0,29.974052083333333,1670.922990976375,1191.7555054081251,479.16748556824996,0.2867681444063779,0.06198734787969763,795.8217655595417,18760.146174,14.929732650347763,11.63613,OP
2008-02-19,15/9-F-12,24.0,30.486976666666667,1650.08467747775,1178.7956077235,471.2890697542498,0.28561508156941523,0.023958620508579154,791.1141674437396,19159.925862,15.157688796599905,4.5915539999999995,OP
2008-02-20,15/9-F-12,24.0,29.907024375,1644.727100666,1171.528794268298,473.198306397702,0.28770627431510654,0.015044282518543716,813.5495864486098,19229.050763999996,15.643786296851522,2.8933079999999998,OP
2008-02-21,15/9-F-12,24.0,30.49301125,1640.47190934625,1159.9438615811248,480.52804776512517,0.2929206193823959,0.01484766297784729,785.2331707972207,19060.169633999998,14.96667743763872,2.83041,OP
2008-02-24,15/9-F-12,24.0,30.799615416666665,1612.633019507,1130.3108516818752,482.3221678251248,0.2990898499477433,0.01502956347112565,795.1470798923659,19666.317659999997,15.637615059584665,2.9562059999999994,OP
2008-02-25,15/9-F-12,24.0,30.683435208333332,1616.4446785795,1135.0195345248749,481.4251440546252,0.29782964454910527,0.01510177281680893,809.6447279473455,19155.837492,15.5094228348139,2.8933079999999998,OP
2008-02-26,15/9-F-12,24.0,30.923040416666666,1608.957439316375,1127.28164542475,481.67579389162506,0.2993713706288482,0.015096816540859865,823.6193712333012,19162.127291999997,15.78229923172952,2.8933079999999998,OP
2008-02-27,15/9-F-12,24.0,30.849319375,1600.1392286300002,1118.648989708,481.4902389220001,0.30090521518820595,0.015151515151515154,824.2197927876842,19092.939491999998,15.736778631804032,2.8933079999999998,OP
2008-02-29,15/9-F-12,24.0,31.0238775,1587.396047933625,1105.35704867375,482.038999259875,0.30366649828022685,0.01497883425594269,823.4774340764077,19313.082491999998,15.903887614618153,2.8933079999999998,OP
2008-03-01,15/9-F-12,24.0,31.061881458333332,1578.40258299725,1096.09806448375,482.30451851349994,0.3055649577040386,0.014988888671658618,818.973022845428,19300.125504,15.806282125307018,2.8933079999999998,OP
2008-03-02,15/9-F-12,24.0,31.087440625,1571.0668147737501,1084.327635523625,486.73917925012506,0.30981443607172143,0.0149983697424193,816.854387850231,19287.923292,15.75542477358887,2.8933079999999998,OP
2008-03-03,15/9-F-12,24.0,30.964471666666668,1567.269656479625,1078.511221934,488.7584345456248,0.31185344048800506,0.015111695137976349,818.5667250652168,19143.257891999998,15.670033919733305,2.8933079999999998,OP
2008-03-04,15/9-F-12,24.0,30.60221479166667,1567.499855958625,1079.670604338375,487.82925162025003,0.3112148621678257,0.015082248528642869,809.7573098218049,18763.668461999998,15.194017696177363,2.83041,OP
2008-03-05,15/9-F-12,24.0,30.576489375,1564.514550891125,1077.0876074882501,487.42694340287494,0.31155155643981935,0.01516427969671441,828.2438062001663,18662.15109,15.456811050664182,2.83041,OP
2008-03-06,15/9-F-12,24.0,30.588812291666667,1556.40839217925,1064.21369618625,492.1946959930001,0.316237498118241,0.058930712384255325,823.3427553839047,18560.445024,15.281607947211644,10.944251999999999,OP
2008-03-09,15/9-F-12,24.0,31.159112291666666,1536.380309294625,1037.9241385225,498.456170772125,0.3244354068824103,0.05902754618822116,801.4709017707244,18849.461334,15.10729477325338,11.132945999999999,OP
2008-03-10,15/9-F-12,24.0,31.305012916666666,1527.099968259125,1030.672851912375,496.4271163467499,0.32507833584246004,0.019854401058901388,818.9027959729788,19004.00172,15.562430143183299,3.7738799999999997,OP
2008-03-11,15/9-F-12,24.0,31.370029791666667,1520.1542767150002,1033.880270590375,486.2740061246252,0.31988464169271436,0.01992693457323148,841.0921824364162,18934.81392,15.925923964000233,3.7738799999999997,OP
2008-03-13,15/9-F-12,24.0,31.642544791666666,1500.29223514575,1021.80284453025,478.48939061550004,0.3189307918860327,0.019937898349403498,841.6207535554931,19239.806321999997,16.192620294983378,3.836778,OP
2008-03-15,15/9-F-12,24.0,32.074124166666664,1481.418135021625,1013.338254617625,468.07988040399994,0.3159674296799176,0.020114942528735632,814.274292257668,19695.691025999997,16.03769487072185,3.9625739999999996,OP
2008-03-16,15/9-F-12,24.0,32.051666041666664,1475.60322620125,1012.5587720596251,463.0444541416249,0.31380010962274263,0.020089285714285712,814.41913906128,19720.850226,16.06103786261537,3.9625739999999996,OP
2008-03-17,15/9-F-12,24.0,32.07361645833333,1469.221418228125,1005.4293657154999,463.7920525126251,0.3156719924978744,0.020038167938931296,839.9284430086146,19771.168626,16.60636688049695,3.9625739999999996,OP
2008-03-18,15/9-F-12,24.0,32.04643958333333,1463.5902483807502,1001.8298639991249,461.7603843816253,0.3154984018870691,0.020108522183210978,762.2977905383816,19701.980826,15.018776452889359,3.9625739999999996,OP
2008-03-19,15/9-F-12,24.0,32.04521979166667,1457.0492279647501,1002.280249291875,454.76897867287516,0.31211641305222754,0.020062096966802008,812.0565231787233,19747.581875999997,16.036152679411728,3.9625739999999996,OP
2008-03-20,15/9-F-12,24.0,32.01249270833333,1452.1823479448751,999.5693470555,452.61300088937514,0.31167780102127807,0.019953757957748706,831.4551153120624,19854.822966,16.508394118696113,3.9625739999999996,OP
2008-03-21,15/9-F-12,24.0,32.087249791666665,1444.197510498375,989.932336426625,454.26517407175004,0.3145450471763995,0.020045227043516935,806.354116384413,20077.922172,16.189915191838075,4.025472,OP
