DATEPRD,NPD_WELL_BORE_NAME,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_CHOKE_SIZE_P,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,AVG_FLP_P,GOR,WCUT,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL
2015-06-08 00:00:00,15/9-F-14,3852.06818824225,211.09264737499998,3411.032957503,221.37990046666667,441.03523073925,190.37887175,27.452523715374994,413.582707023875,816.6573678715645,94.06389690468086,1305.510888,1.0661550855217488,20687.215098
2015-06-09 00:00:00,15/9-F-14,3853.638094662375,211.0813745,3412.8752996763747,224.0,440.762794986,190.85924375,27.001827195249994,413.76096779075004,815.826016615267,93.94344315039507,1314.25371,1.0722023690511364,20385.430494
2015-06-10 00:00:00,15/9-F-14,3854.0473737686248,211.0956185,3413.7102985504994,224.0,440.33707521812494,190.610742875,26.893961226000002,413.44311399212495,815.2319129287496,93.86059671543109,1304.7561119999998,1.0636788210912378,19947.408821999998
2015-06-11 00:00:00,15/9-F-14,3854.271753597875,211.09739412500002,3414.000631388625,224.0,440.27112220924994,190.529803625,25.90744296625,414.3636792429999,817.1070564799539,94.3754089429492,1292.23941,1.0558979405724924,21682.575948
2015-06-12 00:00:00,15/9-F-14,3854.667979284125,211.088436875,3414.6148642969993,224.0,440.05311498712496,190.324869875,26.325484785,413.72763020212494,819.1743731093352,93.91191748139694,1295.2585139999999,1.061042581220479,19980.052883999997
2015-06-13 00:00:00,15/9-F-14,3852.817675128875,211.07145575,3412.3365530037495,224.0,440.481122125125,191.06926137500002,26.741523266374994,413.73959885875,809.5466661591448,93.93894235497841,1279.093728,1.035486063207472,19824.380333999998
2015-06-14 00:00:00,15/9-F-14,3852.0403469895,211.06065199999998,3412.2984503124994,224.0,439.741896677,190.329073625,26.14659854175,413.59529813525,817.1862821050327,94.31531759887673,1255.44408,1.0259316801259732,20829.238782
2015-06-15 00:00:00,15/9-F-14,3851.67335854675,211.059882125,3411.7391505466253,224.0,439.93420800012495,190.472406875,26.28280131024999,413.651406689875,813.6553144125735,94.16029232074796,1259.53245,1.024825271617589,20308.883628
2015-06-16 00:00:00,15/9-F-14,3851.350905834875,211.04751875,3412.0041198645,224.0,439.34678597037504,190.231295,25.884119042874996,413.46266692750004,813.2022504570856,94.2928932432277,1247.204442,1.0142294590144736,20606.328269999998
2015-06-17 00:00:00,15/9-F-14,3850.77002562325,211.044182,3411.4240917511247,224.0,439.345933872125,189.5283245,25.606265516,413.739668356125,821.0621472289316,94.34778498147824,1240.914642,1.018868040488341,20713.569359999998
2015-06-18 00:00:00,15/9-F-14,3856.32141550575,211.032827375,3412.2623298072504,224.0,444.0590856985,190.23703475,25.474558925500002,418.584526773,816.8035205669961,94.24665129716637,1240.03407,1.0128641939990208,20313.22359
2015-06-19 00:00:00,15/9-F-14,3862.20070609,211.051464125,3415.487739240499,224.0,446.71296684949994,190.51398650000002,26.285810848749993,420.42715600074996,833.2692312548146,94.19070992457799,1220.85018,1.017296890965902,19794.629579999997
2015-06-20 00:00:00,15/9-F-14,3860.2289779341245,211.09235,3418.6075035988747,224.0,441.62147433525,191.401498625,27.419276775500002,414.20219755975,830.7321452081396,94.20429595381094,1255.192488,1.042728748205382,20402.098464
2015-06-21 00:00:00,15/9-F-14,3864.6100169134997,211.12245725,3423.271828986875,224.0,441.338187926625,189.355895,27.45714378,413.88104414662496,836.3882081338087,94.3679090075884,1244.5627259999999,1.0409375883092682,20853.140022
2015-06-22 00:00:00,15/9-F-14,3868.4167386507497,211.143429875,3424.9934209819994,224.0,443.42331766875,191.306830625,28.771747060624996,414.651570608125,830.4643182867468,94.32563965031606,1270.916988,1.0554512100384654,21126.620526
2015-06-23 00:00:00,15/9-F-14,3872.6334465545,211.16696975000002,3428.18831200275,224.0,444.44513455174996,191.402855375,29.720437596999997,414.72469695474996,830.5544750450555,94.45761657800925,1255.632774,1.0428714194589368,21399.47205
2015-06-24 00:00:00,15/9-F-14,3876.2488964076256,211.18116875,3431.00976038975,224.0,445.239136017875,191.67894612499998,30.346309804875002,414.89282621300003,826.5977723318588,94.49703377838107,1259.658246,1.0412307000430565,21630.873792
2015-06-25 00:00:00,15/9-F-14,3879.9599655838742,211.195164875,3433.5470068157497,224.0,446.41295876812495,192.18371825,31.28743419225,415.125524575875,826.798788685889,94.62137658713698,1256.0101619999998,1.0384676805187671,22095.878705999996
2015-06-26 00:00:00,15/9-F-14,3883.312271180625,211.21482462499998,3437.7518457765,224.0,445.560425404125,189.19555887500002,30.663266180874995,414.89715922325,821.6093768414144,94.70913790070499,1229.6559,1.0102968177283684,22011.46959
2015-06-27 00:00:00,15/9-F-14,3888.658939926125,211.22364050000004,3439.067965912875,224.0,449.59097401325005,191.97243275,31.785521878875,417.80545213437506,820.124243719327,94.71349885783822,1246.00938,1.0218825004396874,22323.632363999997
2015-06-28 00:00:00,15/9-F-14,3883.378390378875,211.218185375,3437.4232229063746,224.0,445.95516747249997,190.746812375,30.982902738249994,414.97226473424996,820.896257594891,94.55486714624308,1317.838896,1.0818090178393829,22884.305136
2015-06-29 00:00:00,15/9-F-14,3885.0053662303753,211.198065875,3434.91268462375,224.0,450.092681606625,192.1285535,31.203665682375,418.88901592425,806.9933670134584,94.34658491881984,1315.3858739999998,1.0615076753812007,21951.71649
2015-06-30 00:00:00,15/9-F-14,3879.7673762712498,211.19696112499997,3434.242183014625,224.0,445.52519325662496,190.776447125,30.429084200125,415.0961090565,800.5278595791486,94.13194849651845,1328.342862,1.0633754681041003,21308.521542
2015-07-01 00:00:00,15/9-F-14,3877.5308117489994,211.19357787499996,3434.034941842375,224.0,443.49586990662493,188.52289512500002,29.494214576500003,414.00165533012495,830.6272015695413,94.86833629132978,1227.580266,1.019661561049573,22694.101583999996
2015-07-02 00:00:00,15/9-F-14,3876.5348841490004,211.20006500000005,3433.398448622625,224.0,443.13643552637495,188.404428125,29.12471214175,414.01172338462493,828.9063656129456,93.36421598204876,1501.06077,1.2442388274248697,21119.638848
2015-07-03 00:00:00,15/9-F-14,3874.7861609829997,211.18840624999999,3429.825673179375,224.0,444.9604878036249,191.657962625,29.57030513725,415.3901826663749,826.9067145717141,93.38901358075167,1495.0854599999998,1.2362962057325397,21120.079134
2015-07-04 00:00:00,15/9-F-14,3872.580202500375,211.179261875,3428.7710414488747,224.0,443.8091610515,191.39697575,29.175001046625,414.63416000487496,825.1694672380445,93.39783465233639,1471.310016,1.2140801020447185,20813.954567999997
2015-07-05 00:00:00,15/9-F-14,3871.982673135,211.171892,3428.959098324,224.0,443.023574811,191.148858125,28.421425901375002,414.602148909625,826.6970705251798,93.24600698378391,1462.315602,1.2088920243566645,20188.811346
2015-07-06 00:00:00,15/9-F-14,3871.8255365485,211.171892,3428.188076316,224.0,443.63746023249996,191.8651265,28.841190046375,414.79627018612496,825.9243615985987,93.30337940735402,1449.2957159999999,1.1970086390048837,20192.899716
2015-07-07 00:00:00,15/9-F-14,3871.321242444125,211.171892,3428.8973453738745,224.0,442.42389707025,191.2041155,27.9424771875,414.48141988275,822.398144884443,93.49098817730633,1441.9366499999999,1.1858460260008883,20710.990542
2015-07-08 00:00:00,15/9-F-14,3871.2457441218753,211.171892,3428.593581412625,224.0,442.6521627092499,191.262996875,27.960546504999993,414.69161620424995,827.215041195226,93.134386285146,1424.199414,1.1781191769222268,19319.749679999997
2015-07-09 00:00:00,15/9-F-14,3871.0961585762493,211.16646762500002,3428.7977012462493,224.0,442.29845732999996,190.549299875,27.948450940125,414.350006389875,824.3600987709316,92.94025256015581,1413.569652,1.1652904179423114,18609.379667999998
2015-07-10 00:00:00,15/9-F-14,3870.8641848247657,211.15742076595745,3428.7717400871493,219.33333333333337,442.09244473761703,190.69331038297872,27.892273209574466,414.2001715280426,823.1997350420161,93.0954292077653,1368.849174,1.1268362773492826,18456.411732
2015-07-11 00:00:00,15/9-F-14,3870.5863953306252,211.1513796595745,3429.4854303610077,219.33333333333337,441.100964969617,189.8328391489362,27.068463541404252,414.03250142821275,832.7084133397209,93.11790887339527,1346.0172,1.1208398469399738,18212.241695999997
2015-07-12 00:00:00,15/9-F-14,3870.410929566875,211.1513,3429.0720919908754,224.0,441.33883757599995,190.62714087499998,26.99720410899999,414.34163346699995,825.7960207969578,93.04160413806316,1370.736114,1.1319484285038852,18328.288505999997
2015-07-13 00:00:00,15/9-F-14,3869.9503039869996,211.1513,3428.07120590425,224.0,441.87909808275003,191.87042075,27.838762931,414.04033515175,827.8991148025005,92.94457547531492,1446.9055919999998,1.197891858819588,19060.798614
2015-07-14 00:00:00,15/9-F-14,3870.00084973,211.1513,3428.2043810045,224.0,441.79646872549995,191.91797449999999,27.54112380362499,414.25534492187495,827.9874852003444,92.9787986523463,1423.5075359999998,1.1786464248963786,18850.907988
2015-07-15 00:00:00,15/9-F-14,3870.0611099973753,211.1513,3428.004944689625,224.0,442.05616530774995,191.80082825,27.793254236874994,414.26291107087496,829.4795065228412,92.937251988048,1404.952626,1.1653794109024498,18487.483344
2015-07-16 00:00:00,15/9-F-14,3869.851983331125,211.1513,3427.9340362157495,224.0,441.91794711537494,191.943237125,27.641339018375003,414.27660809699995,829.4530482584138,92.9914616792031,1387.781472,1.1510995722669484,18413.515295999998
2015-07-17 00:00:00,15/9-F-14,3869.503197157375,211.1502875,3428.87140472325,224.0,440.6317924341249,189.08846225,26.807433972499997,413.8243584616249,829.8703729121337,93.03664039123785,1377.403302,1.1430661918811442,18403.32582
