DATEPRD,WELL_BORE_CODE,NPD_WELL_BORE_CODE,NPD_WELL_BORE_NAME,NPD_FIELD_CODE,NPD_FIELD_NAME,NPD_FACILITY_CODE,NPD_FACILITY_NAME,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_CHOKE_UOM,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,WCUT,GOR,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,BORE_WI_VOL,FLOW_KIND,WELL_TYPE
2014-04-27,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,3491.592843071625,226.496847125,2319.143403254375,,50.296981875,%,1172.4494398172499,152.480718125,757.12369934725,0.0,809.1654953217553,8488.462488,6.868570953622659,0.0,,production,OP
2014-04-28,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,3408.696585685375,226.47494562499998,2287.005886236,,50.735878541666665,%,1121.690699449375,154.12702625,706.445050171625,0.0,804.879089297858,8463.617777999998,6.812188969321799,0.0,,production,OP
2014-04-29,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,3375.66822714125,226.378052375,2274.121770906375,,50.11391979166667,%,1101.546456234875,150.2724545,687.12788917375,0.0,811.3891614630184,8047.547508,6.529692824349923,0.0,,production,OP
2014-04-30,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,3383.70431134775,226.207830125,2279.698364163,,48.92679020833334,%,1104.0059471847499,145.032159125,690.534671647625,0.0,811.3351134212495,7708.904675999999,6.25450504965606,0.0,,production,OP
2014-05-01,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,3351.6671515605,226.17846012500002,2268.379492886125,,48.93862895833333,%,1083.287658674375,144.278301875,670.0152725380001,0.0,808.2758563997755,7628.89842,6.1662544038123945,0.0,,production,OP
2014-05-02,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,3356.4549677406253,226.0703825,2272.60387269575,,48.303704583333335,%,1083.8510950448751,141.34516812500001,669.354718118375,0.0,809.5934709732065,6755.496791999999,5.469206095983641,0.0,,production,OP
2014-05-03,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,3346.9773145926247,226.03184075,2271.38161934,,48.17349875,%,1075.5956952526249,141.130281875,663.29826663875,0.0,795.4321056047357,6567.620466,5.224096176083136,0.0,,production,OP
2014-05-04,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,3344.5158263486246,225.97576775,2272.565676334125,,47.466087916666666,%,1071.9501500145,136.902239,659.797369611,0.0,806.5896334881445,6102.36396,4.922103509907662,0.0,,production,OP
2014-05-05,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,3327.515124659625,226.003517,2268.81874349075,,47.84001958333333,%,1058.6963811688752,130.8285005,646.122679338,0.0,812.8881041577124,5950.905576,4.8374203516962,0.0,,production,OP
2014-05-06,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,3276.4443531645,226.148396375,2247.3762862896247,,49.00558229166667,%,1029.068066874875,137.989060625,615.685642220875,0.0,811.5394333397005,6307.600134,5.118866238479779,0.0,,production,OP
2014-05-07,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,3274.49897660025,226.10869775,2248.9379920195,,47.920399583333335,%,1025.56098458075,135.366156125,609.869394820625,0.0,819.1540083013397,5820.014837999999,4.767488482920972,0.0,,production,OP
2014-05-08,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,3273.317989577125,226.07788662500002,2250.147122457875,,47.296947708333335,%,1023.1708671192501,135.780724625,596.964644813875,0.0,783.7336114978664,5747.996628,4.504898156139998,0.0,,production,OP
2014-05-09,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,13.83334,3303.934289936601,225.67901928528903,2274.9531856306585,,29.13358708333333,%,1028.9811043059426,132.71954430735022,605.464469914659,0.0,772.4098409803751,1112.03664,0.8589480442667505,0.0,,production,OP
2014-05-10,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,3278.742295955375,225.83064199999998,2250.481713037375,,48.13438479166667,%,1028.260582918,135.272801375,607.775644382375,0.0,310.1829650747393,5938.766262,1.8421041280329862,0.0,,production,OP
2014-05-11,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,3264.75730594625,226.105613375,2250.43308602625,,47.49388729166667,%,1014.32421992,136.443800375,601.6682362187499,0.0,802.7783058436477,5179.084217999999,4.157656454347612,0.0,,production,OP
2014-05-12,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,3278.187930503125,225.988999625,2259.6413613055,,46.93359,%,1018.546569197625,134.39374924999998,606.353764349375,0.0,812.156079173606,4836.919097999999,3.928333249911615,0.0,,production,OP
2014-05-13,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,3290.9846680239575,225.89145174468086,2270.9581159662075,,46.335198958333336,%,1020.02655205775,129.65955574999998,608.080154685,0.0,812.0574954228969,4659.48384,3.7837687770738615,0.0,,production,OP
2014-05-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,3271.712811664085,225.934582625,2265.548206023835,,45.162089583333334,%,1006.1646056402501,130.99164274999998,594.38133371475,0.0,809.8710258396595,4486.136952,3.633192335373443,0.0,,production,OP
2014-05-15,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,3276.301076771875,225.87684570212764,2274.56773556175,,46.31644395833333,%,1001.733341210125,119.47662425,589.588157171875,0.0,805.7381318405122,4678.541934,3.769679637638657,0.0,,production,OP
