DATEPRD,NPD_WELL_BORE_NAME,ON_STREAM_HRS,AVG_CHOKE_SIZE_P,AVG_WHP_P,DP_CHOKE_SIZE,AVG_FL_PRESS,RATIO_CHOKE_PRESS,WCUT,GOR,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,WELL_TYPE
2012-06-02,15/9-F-14,24.0,100.0,473.46355801249996,47.504202469625,425.95935554287496,0.8996666128454793,70.80169939262834,881.9152096465775,7063.3825019999995,6.229304460065297,17127.691482,OP
2012-06-03,15/9-F-14,24.0,100.0,473.386050309625,47.4117014635,425.974348846125,0.8998455881146272,70.92324064413226,882.1585017127347,7028.914398,6.200616594006749,17144.73684,OP
2012-06-04,15/9-F-14,24.0,100.0,473.30175905862495,47.3481748195,425.95358423912495,0.8999619715893866,71.0168980868228,883.3659723910449,7018.724922,6.200102765667792,17197.88565,OP
2012-06-05,15/9-F-14,24.0,100.0,476.13425148499994,47.032526807125,429.1017246778749,0.9012200305681921,71.16341191420939,882.433072348063,6993.691518,6.171464693283328,17259.148301999998,OP
2012-06-06,15/9-F-14,24.0,100.0,472.9879965402499,47.061661315375,425.92633522487495,0.9005013622763889,71.07577107111047,882.3411920543625,7026.335579999999,6.19962531143118,17265.878387999997,OP
2012-06-07,15/9-F-14,24.0,100.0,472.114665331375,46.262015453749996,425.852649877625,0.9020110603400152,70.75857785893244,880.2535310891801,6929.9129459999995,6.100080340857122,16769.047086,OP
2012-06-08,15/9-F-14,24.0,100.0,471.82272498875005,45.79360314625,426.02912184250005,0.9029432015014921,70.86493601617775,880.484620170766,6905.256929999999,6.0799725251925985,16795.590042,OP
2012-06-09,15/9-F-14,24.0,100.0,473.147048837,47.058926744749996,426.08812209225,0.9005405891034906,70.9386362853912,883.4462908442543,6902.1749279999985,6.097700838899807,16848.17277,OP
2012-06-10,15/9-F-14,24.0,100.0,473.517717619,47.270274305375,426.247443313625,0.9001721106803243,71.06636035444699,879.6684515374805,6931.422498,6.097353695767715,17024.853251999997,OP
2012-06-11,15/9-F-14,24.0,100.0,476.32993796325,46.068368572375,430.261569390875,0.90328475096619,71.27674761670606,882.9486887851203,6833.7419039999995,6.0338434536327314,16957.92978,OP
2012-06-12,15/9-F-14,24.0,100.0,472.580046949,46.485754698499996,426.0942922505,0.9016341146888992,71.1832763607678,882.6268670045545,6892.99182,6.083939774374622,17027.11758,OP
2012-06-14,15/9-F-14,24.0,100.0,473.301088257875,47.241411743375,426.0596765145,0.9001874009686709,71.87883149421612,881.7558977255129,6636.053489999999,5.851379302429472,16962.01815,OP
2012-06-15,15/9-F-14,24.0,100.0,473.354897355875,47.490472205625,425.86442515025,0.8996725871626062,71.77563575943765,882.4604966048156,6720.462606,5.930542768704853,17090.392967999996,OP
2012-06-16,15/9-F-14,24.0,100.0,472.93994061625,46.80015477975,426.1397858365,0.9010441902649023,71.55963060546699,883.6179512304905,6775.812846,5.9872298649037585,17048.81739,OP
2012-06-17,15/9-F-14,24.0,100.0,472.67414941637503,46.670052672124996,426.00409674425003,0.9012637929750338,71.37534853054491,879.7542508682164,6799.462493999999,5.981856032715504,16954.407492,OP
2012-06-18,15/9-F-14,24.0,100.0,472.39404477887496,46.61175041775,425.78229436112497,0.9013286663265014,71.47697211071147,879.6892689679579,6788.455343999999,5.971731318984986,17011.455977999998,OP
2012-06-19,15/9-F-14,24.0,100.0,472.00054459837503,46.21607466725,425.78446993112505,0.9020847005450487,71.49074938179824,880.8413858830082,6801.978414,5.991464092934066,17056.868334,OP
2012-06-21,15/9-F-14,24.0,99.93650229166667,476.69178964350004,47.48909736625,429.20269227725004,0.900377773651681,75.06943529473767,888.9280114228496,5950.716882,5.28975892445664,17918.445138,OP
2012-06-22,15/9-F-14,24.0,100.0,475.51706644899997,45.99263154175,429.52443490725,0.9032786943164683,72.99867676608164,882.2177001946073,6237.657558,5.502971905420271,16863.645678,OP
2012-06-23,15/9-F-14,24.0,100.0,472.25568759175,46.268442450125,425.987245141625,0.9020267120845719,72.59446307906559,884.6444836221035,6362.132699999999,5.628225597126799,16852.638528,OP
2012-06-24,15/9-F-14,24.0,100.0,472.16802420724997,46.097602794249994,426.07042141299996,0.9023703418467485,72.17582189555422,883.3745648105958,6409.809384,5.662262575109873,16627.023402,OP
2012-06-25,15/9-F-14,24.0,100.0,471.98494999175,46.812256387875,425.172693603875,0.9008183282354804,71.54257019960907,884.0442909188847,6437.484504,5.691021423639988,16183.96989,OP
2012-06-26,15/9-F-14,24.0,100.0,472.0350787505,46.951450565125,425.083628185375,0.9005339800393484,72.04133646935414,886.0998697969999,6437.484504,5.704254180814604,16587.523458,OP
2012-06-27,15/9-F-14,24.0,100.0,473.185214982375,47.205937865875,425.9792771165,0.9002379271980565,70.97869323141465,885.0913966457634,6796.317593999999,6.0153622313216335,16622.05446,OP
2012-06-28,15/9-F-14,24.0,100.0,472.66156434824995,46.639990524999995,426.02157382325,0.9013247658727835,70.9368942955356,882.5887180772312,6828.206879999999,6.026498356985329,16666.208855999997,OP
2012-06-29,15/9-F-14,24.0,100.0,471.95121052699994,45.483762697124995,426.46744782987497,0.9036261340524248,72.11609045172148,882.099013573477,6857.014164,6.048565430123761,17734.279794000002,OP
2012-06-30,15/9-F-14,24.0,100.0,471.6341211995,45.507301155875,426.126820043625,0.9035114316153866,72.26513323041473,885.002481633982,6859.089798,6.070311492980329,17871.83772,OP
2012-07-01,15/9-F-14,24.0,100.0,471.95134045687496,45.882707845875,426.06863261099994,0.9027808506668124,70.48488673443354,879.2131892848602,6912.553097999999,6.07760785539352,16507.831692,OP
2012-07-02,15/9-F-14,24.0,100.0,471.68328001662496,47.010218149749996,424.67306186687495,0.9003352034269837,72.46176482567613,880.2014558092224,6804.242741999999,5.989104367187735,17904.104394,OP
2012-07-03,15/9-F-14,24.0,100.0,472.32126894075,46.3842764445,425.93699249624996,0.9017950715018115,71.88999290092237,879.7870642149154,6799.210902,5.981857798448627,17388.655283999997,OP
2012-07-04,15/9-F-14,24.0,100.0,471.78955056787504,45.88965456175,425.89989600612506,0.9027327873063014,71.95704707742064,882.6081573938568,6795.374124,5.997652634385534,17436.646458,OP
2012-07-05,15/9-F-14,24.0,100.0,472.446370259,45.643313562,426.803056697,0.9033894290753512,71.9621271076524,886.2203739540588,6798.393227999999,6.0248745888049,17448.785772,OP
2012-07-06,15/9-F-14,24.0,100.0,472.52198340300004,46.6212443635,425.9007390395,0.9013352902065127,71.77314637007542,887.1492846073934,6795.374124,6.028511292746193,17278.772478,OP
2012-07-07,15/9-F-14,24.0,100.0,472.239700173875,46.17002510225,426.069675071625,0.9022318007459971,71.56166511828094,884.1163145194245,6815.753075999999,6.02591849022755,17151.02664,OP
2012-07-08,15/9-F-14,24.0,100.0,471.449110122375,45.52343361175,425.92567651062495,0.9034393476743791,71.52891310929459,883.3554221392999,6802.167108,6.008731197149401,17089.323701999998,OP
2012-07-09,15/9-F-14,24.0,100.0,471.88239906087495,45.768109696125,426.11428936474994,0.9030095002754686,71.67643535380334,884.9367006923842,6647.312231999999,5.882450555058208,16821.881405999997,OP
2012-07-10,15/9-F-14,24.0,100.0,471.91641047187505,45.79326472425,426.1231457476251,0.902963186470967,71.77595826001249,884.5973224417658,6628.002546,5.863113305328806,16855.531836,OP
2012-07-11,15/9-F-14,24.0,100.0,471.91202307237495,45.894709740375,426.01731333199996,0.9027473183633291,71.92939922738776,886.2454027142082,6627.121974000001,5.873256382683809,16981.642325999997,OP
2012-07-12,15/9-F-14,24.0,100.0,471.665017315125,45.6078880305,426.057129284625,0.9033044929002465,71.7592097667358,886.9178024294882,6646.305864,5.8947269911731,16888.112999999998,OP
2012-07-13,15/9-F-14,24.0,100.0,471.3864688145,45.330989337125004,426.055479477375,0.9038347675716512,71.54365116622182,885.6777033587911,6672.282737999999,5.909492051552345,16775.148191999997,OP
2012-07-14,15/9-F-14,24.0,100.0,471.6880028165,45.61014216275,426.07786065375,0.9033044260392317,71.67703158671507,881.8072987470993,6662.973833999999,5.875458958182143,16862.010329999997,OP
2012-07-15,15/9-F-14,24.0,100.0,471.217659690625,45.344728665999995,425.872931024625,0.9037711602409579,71.75378707062087,879.0398772368192,6661.6529759999985,5.85585861421733,16922.581104,OP
2012-07-16,15/9-F-14,24.0,100.0,471.6985422445,45.707175606374996,425.991366638125,0.9031008758498915,71.77415917132018,878.6206254787946,6663.665712,5.854834135859038,16944.7212,OP
2012-07-17,15/9-F-14,24.0,100.0,471.45563381075,45.634130843625,425.82150296712496,0.9032058849848354,71.73704389000571,879.5573640406076,6667.628285999999,5.864561559636754,16923.776166,OP
2012-07-18,15/9-F-14,24.0,100.0,471.5241370711249,45.444112933875,426.08002413724995,0.9036229338838275,71.72317334230179,884.3617224360187,6663.288324,5.8927571393004525,16901.195784,OP
2012-07-19,15/9-F-14,24.0,97.91666666666667,471.1055098928937,45.10544476787234,426.00006512502137,0.9042561722996467,71.65788411306903,885.1767776893942,6667.816979999999,5.902196748579026,16858.362246,OP
2012-07-20,15/9-F-14,24.0,100.0,470.984638013875,45.13035645875,425.854281555125,0.9041787081441487,71.80034947897799,883.6826007068521,6658.759668,5.884230060900135,16954.155899999998,OP
2012-07-21,15/9-F-14,24.0,100.0,470.86985856662494,45.03772552275,425.83213304387493,0.9043520737134261,71.77385377612569,876.6859200362155,6657.879096,5.836868860766646,16929.751475999998,OP
2012-07-22,15/9-F-14,24.0,100.0,469.779870802,44.08798043925,425.69189036275,0.9061518315717023,71.87241391238635,879.717364883567,6648.6959879999995,5.8489733144753036,16988.938494,OP
2012-07-23,15/9-F-14,24.0,100.0,469.97575066425003,44.200653813875,425.775096850375,0.905951203330378,71.84451308661141,879.7071157281664,6661.967466,5.860580184589741,16999.379562,OP
2012-07-24,15/9-F-14,24.0,100.0,470.136516222375,44.4896692235,425.646846998875,0.9053686159480189,71.94110481436364,879.5191814636751,6664.420487999999,5.861485652535505,17087.122271999997,OP
2012-07-25,15/9-F-14,24.0,100.0,470.912179446375,45.14223748825,425.769941958125,0.9041387344423303,71.9804432094772,880.2446808643584,6646.934843999999,5.8509290404829635,17075.54904,OP
2012-07-26,15/9-F-14,24.0,100.0,470.75100899050005,45.056178586624995,425.6948304038751,0.9042887264687005,71.9423619486847,878.4823681682112,6642.909372,5.835678756641364,17033.029992,OP
2012-07-27,15/9-F-14,24.0,100.0,469.406237805875,43.718499155874994,425.68773865,0.9068642560861004,71.90165378608899,881.9679242984616,6620.328989999999,5.838917817483231,16940.94732,OP
2012-07-28,15/9-F-14,24.0,100.0,469.40192594699994,43.438454950875,425.96347099612495,0.9074599984581665,71.79777364992917,884.1034268325012,6598.754975999999,5.833981887109618,16799.238125999997,OP
2012-07-29,15/9-F-14,24.0,100.0,469.810772960875,43.96296976975,425.84780319112497,0.9064240917834143,71.79984359433082,885.6849211645388,6622.907808,5.865809579808489,16862.450616,OP
2012-07-30,15/9-F-14,24.0,100.0,471.191268817875,45.18132522925,426.00994358862505,0.9041125584890379,72.44404073797308,885.3830776903757,6563.909483999999,5.811574380624965,17256.38079,OP
2012-07-31,15/9-F-14,24.0,100.0,472.35345529025,46.041633234375,426.311822055875,0.9025271590189099,72.37443343279809,885.5525120915944,6597.622812,5.842541454999409,17284.68489,OP
2012-08-01,15/9-F-14,24.0,100.0,470.61484852475,44.830856010375,425.78399251437503,0.9047398182379762,72.46008459800146,869.3004328135361,6576.8035740000005,5.7172181934078115,17304.183269999998,OP
2012-08-02,15/9-F-14,24.0,100.0,470.19286046375004,44.316191689,425.87666877475004,0.9057489055761266,72.45105906700738,880.294438633923,6564.1610759999985,5.778394489500068,17263.110876,OP
2012-08-03,15/9-F-14,24.0,100.0,469.779305758125,44.153165955375,425.62613980275,0.9060129609495653,72.34467661691542,880.6813834358987,6555.606948,5.773400996226629,17149.076801999996,OP
2012-08-04,15/9-F-14,24.0,100.0,471.02135377925003,44.980257236875005,426.04109654237504,0.9045048448950882,72.40983431889617,888.9859271966699,6514.911942,5.791665033363527,17098.255218,OP
2012-08-05,15/9-F-14,24.0,100.0,471.32298749487495,45.189148216374996,426.1338392785,0.9041227578214264,72.67324895633159,893.1421220123171,6484.595106,5.791665033363527,17245.247844,OP
2012-08-06,15/9-F-14,24.0,100.0,472.09092442375,45.812878092125,426.278046331625,0.9029575115258872,72.86537481543427,884.7248170575238,6530.8251359999995,5.777983073682278,17537.409054,OP
2012-08-07,15/9-F-14,24.0,100.0,471.905475211,45.70160070825,426.20387450275,0.9031551802025274,72.91229750053341,881.9840378795982,6547.933391999999,5.7751727328428135,17625.151764,OP
2012-08-08,15/9-F-14,24.0,100.0,471.38305437825,45.432824142875,425.950230235375,0.9036180369215849,72.89946373717916,911.2800811907805,6547.933391999999,5.967001273093582,17613.704328,OP
2012-08-09,15/9-F-14,24.0,100.0,470.79162567375005,45.020786293,425.77083938075003,0.9043721599156086,72.93109572012075,880.7925279084075,6519.314802,5.742163764684278,17564.832582,OP
2012-08-10,15/9-F-14,24.0,100.0,468.84022701087497,44.978081666875,423.86214534399994,0.9040652250476968,72.91312108795461,881.0614729788191,6557.053602,5.777167304979191,17650.436759999997,OP
2012-08-11,15/9-F-14,24.0,100.0,467.181681221375,45.08477826725,422.096902954125,0.9034962626330237,72.80757327129594,892.1980618509261,6587.307539999999,5.877183020003991,17637.479772,OP
2012-08-12,15/9-F-14,24.0,99.998988125,469.1077767965,44.361839377875,424.745937418625,0.9054335878189474,73.15387151275395,887.3689211862705,6556.235927999999,5.817800002472026,17865.296328,OP
2012-09-30,15/9-F-14,24.0,99.98930708333333,514.5534277375,63.896312624125,450.65711511337497,0.875821811342161,65.61088988486978,861.0806017783541,7789.28832,6.707205074010704,14861.162051999998,OP
2012-10-01,15/9-F-14,24.0,100.0,492.784613885,62.094348425625,430.690265459375,0.8739929237317546,68.3102254634556,860.6622289146958,7548.955062,6.497100489637796,16272.467375999999,OP
2012-10-02,15/9-F-14,24.0,100.0,496.89222903974996,64.13244657462499,432.759782465125,0.8709328847855768,62.782416340882044,851.0546885959618,8868.051918,7.547197163526311,14959.534524,OP
2012-10-03,15/9-F-14,24.0,100.0,491.84371007625003,63.515122543875,428.328587532375,0.8708632005601367,63.502341491541806,846.6129492932681,8838.426959999999,7.482726715718734,15377.994917999999,OP
2012-10-04,15/9-F-14,24.0,100.0,493.93016026850006,65.403604931,428.52655533750004,0.8675853183465317,62.698536540444024,839.8840933841874,9171.78636,7.703237471682056,15416.488494000001,OP
2012-10-05,15/9-F-14,24.0,100.0,494.30350923187495,65.72455589525,428.578953336625,0.8670360321791303,60.59212530338315,841.7319595390547,10090.09716,8.49315725442625,15514.169087999999,OP
2012-10-06,15/9-F-14,24.0,100.0,493.7578792975,65.479916070375,428.277963227125,0.8673845647515795,60.75570051759301,846.6677760183608,10057.767587999999,8.515587715441512,15570.840186,OP
2012-10-07,15/9-F-14,24.0,100.0,492.2658975645,64.231132847125,428.03476471737497,0.8695194341819931,61.05540235648033,851.0066742087714,9966.628385999998,8.481667275844595,15625.184057999999,OP
2012-10-08,15/9-F-14,24.0,100.0,491.40474350437506,63.6589065695,427.74583693487506,0.8704552460858912,61.100496752006116,849.8667307661004,9924.67542,8.434651453110074,15588.954809999997,OP
